movie_year,movie_name,movie_rating
2024–,X-Men '97,9.0
2024,Shōgun,8.8
2023–,The Last of Us,8.7
2022–,Severance,8.7
2021–2025,The White Lotus,8.0
2021–2024,Star Wars: The Bad Batch,7.8
2021–,Clarkson's Farm,9.0
2020–2023,Ted Lasso,8.8
2020–,Bridgerton,7.4
2020,The Outsider,7.6
2019–,The Boys,8.7
2018–2023,Succession,8.8
2018–2022,Killing Eve,8.1
2018–,Yellowstone,8.7
2017–2024,The Good Doctor,8.0
2017–,S.W.A.T.,7.2
2016–2025,Stranger Things,8.7
2016–2023,The Crown,8.6
2015–2022,Better Call Saul,9.0
2014–2024,Fargo,8.9
2014–2017,Black Sails,8.2
2014–,True Detective,8.9
2013–2023,Attack on Titan,9.1
2013–2022,Peaky Blinders,8.8
2013–2021,Brooklyn Nine-Nine,8.4
2013–2020,Vikings,8.5
2012–,Chicago Fire,8.0
2011–2021,Shameless,8.5
2011–2019,Game of Thrones,9.2
2011–,Black Mirror,8.7
2010–2022,The Walking Dead,8.1
2010–2017,Sherlock,9.1
2009–2020,Modern Family,8.5
2009–2014,White Collar,8.2
2008–2013,Breaking Bad,9.5
2007–2019,The Big Bang Theory,8.1
2006–2013,Dexter,8.6
2005–2022,Doctor Who,8.6
2005–2020,Supernatural,8.4
2005–2017,Bones,7.8
2005–2013,The Office,9.0
2005–,Criminal Minds,8.1
2004–2012,House,8.7
2004–2010,Lost,8.3
2003–,NCIS,7.8
2002–2009,Monk,8.1
2000–2024,Curb Your Enthusiasm,8.8
1999–2007,The Sopranos,9.2
1999–,One Piece,9.0
1994–2004,Friends,8.9
1981–1986,The Fall Guy,7.1
